RunNumber    target    charge       TLT   TE_SHMS    TE_HMS SHMS_aero  SHMS_cal   HMS_cal   HMS_cer       all
6326        D2   43.4869         1  0.969577         1  0.783236   0.90958  0.992274  0.971995   0.66621
6327        D2   35.2949         1  0.970353         1  0.809298  0.968058   0.98747  0.974883  0.731841
6339        D2   3.85318  0.981541  0.921569         1  0.963933  0.948368  0.998948  0.991536  0.819052
6340        D2   33.2459  0.981778   0.97552  0.998915  0.940458  0.937152  0.993225   0.97723  0.818413
6341        D2   45.8838  0.983034  0.972414  0.999293  0.952952   0.94584  0.994174  0.971917  0.831941
6342        D2   52.4751  0.982878  0.980138  0.995235   0.95131  0.946847  0.991114  0.970727  0.830874
6343        D2   43.4145  0.984558  0.983302  0.995309  0.953552  0.948952  0.987472   0.97516  0.839607
6344        D2   13.2716  0.984777   0.98125         1  0.959956  0.956436  0.995299  0.984524   0.86937
6347        D2   15.5428   0.98218  0.977995  0.997748   0.95073  0.945139  0.993767  0.971651  0.831565
6348        D2   61.5218   0.98084  0.976475  0.996845  0.944525   0.93778  0.991852  0.968094  0.812018
6349        D2   76.7885  0.983378   0.97728  0.996588  0.952108  0.945612  0.992263  0.978617  0.837325
6350        D2   73.4613  0.981478  0.979132  0.995751  0.950433  0.944141  0.993731  0.969967  0.827669
6351        D2    44.282  0.982772  0.983781   0.99552  0.947637  0.938252  0.990925  0.970588  0.823073
6359        D2    143.04   0.98884  0.967894  0.993174  0.950542  0.950506   0.99398  0.970854  0.828775
6360        D2   103.791  0.987966  0.976091  0.995429  0.950949  0.950352  0.994348  0.955052  0.823854
6367        D2   85.6461  0.986819  0.979225  0.997579   0.94252  0.943478  0.991117   0.96986  0.823992
6368        D2   84.4798  0.985647  0.974444  0.996092  0.948608   0.94704  0.992245  0.963423  0.821616
6370        D2   71.0344  0.982683  0.976005  0.994528   0.94473  0.943257  0.991182  0.960097  0.808889
6375        D2    97.012  0.979176  0.976763  0.995699  0.945903  0.939821  0.993173  0.963037  0.809724
6376        D2   150.196  0.978178  0.979098  0.996259  0.944916   0.93602  0.991794  0.966794  0.809189
6377        D2    65.551  0.979284  0.979918  0.995514  0.947874  0.942276  0.993403  0.967974  0.820471
6378        D2   86.1446  0.983074  0.981044  0.995184   0.94584  0.939384  0.992457  0.967894  0.819179
6379        D2   87.2304  0.982696   0.98013  0.996513  0.953174  0.945792  0.991925  0.970157  0.832672
6380        D2   95.4365  0.982454  0.979347  0.997321  0.949179  0.942139  0.991174  0.970179   0.82518
6381        D2   18.5922  0.984186  0.981735  0.993141  0.938198  0.934847  0.993586  0.974706  0.815073
6387        D2   125.015  0.984124  0.978305  0.995313  0.796352  0.939264   0.99276  0.965984   0.68737
6388        D2   106.053  0.982577  0.972743  0.993308  0.807446  0.948278  0.993116  0.965858  0.697286
6393        D2    18.985  0.979956  0.982234   0.99734  0.783375  0.926952  0.990828  0.973123  0.672137
6394        D2   57.0919  0.977652  0.979883  0.994167  0.803805  0.911982  0.994498  0.964447  0.669632
6395        D2   72.2248  0.979821  0.976367  0.998614  0.788091   0.90178  0.992755  0.967567  0.652165
6396        D2   21.0017  0.979757   0.96934         1  0.763325  0.904932  0.992572  0.967675  0.630103
6397        D2   43.5322  0.985473     0.968  0.997863  0.807721  0.958365  0.994294  0.963888  0.706196
6399        D2   15.5185  0.979321  0.986595  0.997468  0.756989  0.949462  0.998299  0.972644  0.672582
6400        D2   7.38588  0.978502  0.988304  0.989011  0.742063  0.922619  0.994642  0.981113  0.639003
6401        D2   3.77044  0.981107         1         1  0.763566  0.926357  0.986641   0.97561     0.668
6402        D2   55.1876  0.982284  0.979356  0.997761  0.765511  0.902372  0.991041  0.975274  0.640855
6403        D2   64.4795  0.981353  0.974504  0.993911  0.790687  0.915399  0.990153  0.971713  0.661929
6404        D2   49.5835  0.982279   0.97389         1  0.758104   0.89419  0.990849   0.97057  0.623646
6411        D2   40.0984  0.983773  0.973256  0.996641   0.95512  0.951277  0.993134  0.973684    0.8384
6412        D2   29.9882  0.983087  0.977671  0.998601  0.947742  0.943016  0.989981  0.972547  0.825892
6413        D2   32.0672  0.982102  0.979299  0.997344  0.955514  0.949462  0.993249  0.974017  0.841892
6415        D2   42.9479   0.98378  0.986395  0.997003  0.948462  0.945568  0.990912  0.970344  0.834293
6416        D2   32.9012  0.982934  0.983895  0.998718  0.956717  0.952806  0.990722  0.971831  0.847708
6417        D2   25.2493  0.981149  0.972441  0.998279  0.950824  0.948099  0.992533  0.972564  0.828833
6419        D2   104.187  0.973638  0.971662   0.99541  0.935622  0.939327  0.994777  0.966433  0.795663
6421        D2   80.6192  0.974523  0.973422   0.99735  0.937858  0.941433  0.996722  0.965077  0.803532
6422        D2   56.2573  0.975979  0.975956    0.9956  0.934709  0.941224  0.993565  0.970129  0.804176
6429        D2   44.9258  0.976816  0.978409   0.99896  0.938498  0.937112  0.992665  0.974707  0.812425
6430        D2    67.584  0.976475  0.980435  0.996508   0.93743   0.94248  0.993604  0.972258  0.814267
6431        D2   34.9813  0.976237  0.980609         1  0.934888  0.936177  0.989523  0.972638  0.806392
6432        D2   63.3227  0.981535  0.976562  0.997451  0.937242  0.939766  0.996607  0.972813  0.816436
6433        D2   60.3664  0.988569   0.97546   0.99867  0.941302  0.941658  0.995327  0.972872  0.826575
6434        D2   63.6957   0.97974  0.978963  0.999356  0.797538  0.931973   0.99566  0.975874   0.69224
6435        D2   62.3412  0.981931  0.981878  0.995924  0.796386  0.929009  0.995694  0.969319  0.685647
6436        D2   37.7698  0.981222  0.977394  0.998878  0.775349  0.934123  0.992796  0.975021  0.671621
6443        D2   29.4471  0.984653  0.987931  0.998573  0.940511   0.93669  0.995946  0.984181  0.838804
6444        D2   32.7197  0.984465  0.966049  0.992147    0.9371  0.933465   0.99232  0.970212  0.794654
6445        D2   30.9191  0.984484   0.97786  0.998658  0.947188   0.94409  0.992488  0.969708  0.827405
6446        D2   28.0629  0.983878  0.984158  0.998405  0.945236  0.940032  0.995203  0.978815  0.836774
6447        D2   28.3752  0.982999  0.972816  0.996785  0.946165  0.942977  0.991499  0.970796  0.818602
6448        D2   31.9009   0.98502   0.98087  0.994602  0.939362   0.93336  0.992303  0.978796  0.818322
6451        D2   65.7482  0.982788  0.947107  0.998521  0.934996  0.936168  0.994939  0.972787  0.787397
6452        D2    77.347  0.982987  0.971591  0.998588  0.931071  0.934462  0.995844  0.973465  0.804403
6459        D2   114.704  0.976431  0.970427  0.996395  0.936231  0.937337  0.992981  0.977088  0.803876
6460        D2   10.1784    0.9775  0.969298         1  0.913413  0.913413  0.990446  0.964555  0.755208
6461        D2   121.823  0.979256  0.975941  0.994001  0.932226  0.934912  0.994115  0.973383  0.801159
6462        D2   109.792   0.98296   0.97149  0.999053  0.933032  0.933933  0.994258   0.96985  0.801638
6463        D2   13.1562  0.985623  0.976879  0.989583  0.933993  0.934158   0.99359  0.977538  0.807438
6464        D2   94.5025  0.986394  0.974256   0.99431    0.9366  0.936035  0.994577   0.96904  0.807368
6465        D2   106.807  0.977311   0.97789  0.997388  0.937008  0.936668  0.992055  0.972568  0.807183
6466        D2   98.7009   0.97775  0.982612  0.996145  0.942414  0.938736  0.993486  0.970052   0.81597
6467        D2   73.6787  0.978461  0.973846  0.995677  0.931342  0.928615  0.993966  0.964957  0.787003
6473        D2   36.6769  0.981115  0.979439  0.996203  0.929027  0.924856  0.993669  0.978966  0.800124
