correct as of April 4 2022
Run	PTRIG1	Cur	ChCorr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	BOIL	FADC	Total
6099	440.5	20.3	53.03	0.96	0.994	0.98	0.968	0.9990	0.9970	0.9802	0.9947	0.978	0.8598
6101	442.4	20.3	41.25	0.96	0.994	0.98	0.968	0.9991	0.9964	0.9791	0.9947	0.9779	0.8582
6102	443.5	20.3	69.90	0.96	0.994	0.98	0.968	0.9984	0.9968	0.9822	0.9947	0.9778	0.8606
6103	442.7	20.3	30.04	0.96	0.994	0.98	0.968	0.9971	0.9968	0.9796	0.9947	0.9779	0.8573
6104	66.3	35.8	59.31	0.96	0.994	0.98	0.968	0.9973	0.9978	0.9930	0.9907	0.9967	0.8832
6105	54.9	30.8	59.40	0.96	0.994	0.98	0.968	0.9990	0.9973	0.9946	0.9920	0.9973	0.8875
6106	55.0	30.8	34.19	0.96	0.994	0.98	0.968	0.9965	0.9973	0.9954	0.9920	0.9973	0.8860
6109	19.4	30.8	52.50	0.96	0.994	0.98	0.968	0.9986	0.9943	0.9982	0.9920	0.999	0.8891
6110	19.2	30.8	49.10	0.96	0.994	0.98	0.968	0.9993	0.9972	0.9982	0.9920	0.999	0.8923
6111	126.6	30.8	28.24	0.96	0.994	0.98	0.968	0.9989	0.9956	0.9913	0.9920	0.9937	0.8796
6112	126.9	30.8	34.98	0.96	0.994	0.98	0.968	0.9997	0.9974	0.9912	0.9920	0.9937	0.8819
6114	127.2	30.8	11.59	0.96	0.994	0.98	0.968	0.9983	0.9979	0.9921	0.9920	0.9936	0.8818
6115	270.7	35.8	53.44	0.96	0.994	0.98	0.968	0.9978	0.9972	0.9881	0.9907	0.9865	0.8698
6116	232.6	30.8	35.10	0.96	0.994	0.98	0.968	0.9977	0.9967	0.9882	0.9920	0.9884	0.8722
6117	122.1	35.8	61.89	0.96	0.994	0.98	0.968	0.9986	0.9988	0.9917	0.9907	0.9939	0.8815
6118	144.0	40.8	77.59	0.96	0.994	0.98	0.968	0.9983	0.9975	0.9908	0.9894	0.9928	0.8773
6119	45.1	40.8	56.37	0.96	0.994	0.98	0.968	0.9976	0.9970	0.9969	0.9894	0.9977	0.8860
6120	45.0	40.8	38.06	0.96	0.994	0.98	0.968	0.9991	0.9973	0.9964	0.9894	0.9977	0.8872
6121	149.8	40.8	28.12	0.96	0.994	0.98	0.968	0.9970	0.9967	0.9888	0.9894	0.9925	0.8734
6122	409.4	51.3	96.11	0.96	0.994	0.98	0.968	0.9982	0.9967	0.9608	0.9867	0.9795	0.8362
6123	375.1	50.8	134.19	0.96	0.994	0.98	0.968	0.9984	0.9975	0.9788	0.9868	0.9812	0.8545
6124	481.5	34.3	80.50	0.96	0.994	0.98	0.968	0.9980	0.9972	0.9805	0.9911	0.9759	0.8544
6125	484.1	34.8	74.29	0.96	0.994	0.98	0.968	0.9979	0.9962	0.9793	0.9910	0.9758	0.8522
6126	362.0	51.3	33.08	0.96	0.994	0.98	0.968	0.9982	0.9982	0.9798	0.9867	0.9819	0.8563
6127	81.3	40.8	35.91	0.96	0.994	0.98	0.968	0.9984	0.9975	0.9958	0.9894	0.9959	0.8846
6128	81.1	40.8	81.28	0.96	0.994	0.98	0.968	0.9989	0.9992	0.9958	0.9894	0.9959	0.8866
6129	146.9	40.8	18.82	0.96	0.994	0.98	0.968	1.0000	1.0000	0.9938	0.9894	0.9927	0.8836
6130	146.8	40.8	22.35	0.96	0.994	0.98	0.968	0.9987	0.9987	0.9934	0.9894	0.9927	0.8810
6132	146.6	40.8	43.78	0.96	0.994	0.98	0.968	0.9991	0.9974	0.9937	0.9894	0.9927	0.8804
6133	18.9	5.3	8.98	0.96	0.994	0.98	0.968	1.0000	0.9865	0.9977	0.9986	0.9991	0.8889
6135	36.5	10.3	18.13	0.96	0.994	0.98	0.968	1.0000	0.9958	0.9994	0.9973	0.9982	0.8968
6136	482.8	18.3	45.06	0.96	0.994	0.98	0.968	0.9988	0.9973	0.9810	0.9952	0.9759	0.8591
6137	482.5	18.3	45.52	0.96	0.994	0.98	0.968	0.9992	0.9975	0.9806	0.9952	0.9759	0.8593
6138	482.4	18.3	40.67	0.96	0.994	0.98	0.968	0.9983	0.9978	0.9830	0.9952	0.9759	0.8609
